age,income,experience,purchased
58,123268,10,1
52,147016,37,1
36,24835,1,0
33,40159,6,0
20,124346,17,1
37,67605,26,0
41,141790,33,1
50,125616,26,1
41,58088,16,0
28,98752,23,1
25,75284,24,1
53,77043,6,1
55,145388,5,0
57,55547,23,0
37,117007,32,1
52,102844,28,1
42,47532,21,0
52,54349,25,0
42,142402,27,1
46,138012,20,1
35,65445,6,0
63,25713,16,0
35,76178,19,1
19,69407,19,0
52,90340,21,1
33,70990,27,1
58,95672,39,1
53,149473,6,1
50,85545,0,0
21,104791,31,1
50,78141,12,1
31,43793,29,0
38,76570,22,1
37,115084,18,1
25,57892,31,0
24,21015,29,0
20,144704,28,1
34,81813,28,1
50,47712,29,0
29,120497,15,1
39,28415,39,0
39,131854,18,1
63,132816,17,1
47,148778,0,0
55,82292,13,1
55,43833,1,0
62,24158,27,0
25,82680,29,1
44,40309,37,0
44,26970,3,0
51,92474,0,0
38,106704,7,1
47,66540,28,0
50,40384,38,0
45,38017,2,0
64,95880,31,1
50,125570,9,1
22,28702,9,0
36,20384,18,0
21,20404,33,0
52,60943,32,0
34,67926,22,0
61,49189,27,0
45,32763,31,0
47,38384,6,0
46,80100,28,1
63,118142,7,1
23,29860,0,0
52,124293,2,0
58,100642,23,1
54,70612,22,1
41,43574,7,0
46,43524,36,0
63,89172,2,0
48,30916,32,0
52,24809,27,0
50,52201,7,0
38,73330,33,1
49,33456,34,0
40,133748,31,1
50,76397,23,1
20,141288,13,1
35,58765,31,0
42,54816,15,0
59,65106,3,0
48,73932,36,1
20,37100,20,0
57,77091,13,1
63,41949,30,0
41,90080,17,1
49,57744,6,0
64,65543,9,0
39,128319,6,1
40,112193,32,1
19,56187,22,0
44,132734,20,1
59,27239,18,0
19,144454,18,1
43,34489,35,0
34,134937,28,1
57,78017,17,1
50,81877,1,0
26,63125,0,0
60,69922,4,0
56,114074,19,1
46,52049,10,0
59,57131,1,0
43,62944,2,0
52,135765,22,1
42,93963,11,1
41,126884,19,1
30,145917,4,0
24,44285,36,0
53,57626,37,0
62,62808,29,0
37,108464,8,1
18,73871,33,1
25,39198,34,0
63,39758,21,0
33,35254,23,0
31,64238,16,0
29,21252,9,0
40,59764,29,0
32,97709,22,1
45,57441,31,0
51,112234,16,1
19,73682,16,1
49,79494,13,1
40,101317,8,1
39,85215,39,1
42,98587,1,0
39,125185,24,1
39,26949,38,0
59,127825,8,1
23,75393,21,1
32,93553,3,0
60,26941,25,0
54,45934,28,0
50,43386,33,0
25,145362,22,1
61,81886,36,1
61,95745,10,1
22,103251,5,0
56,114456,17,1
21,73413,20,1
23,76800,35,1
62,117239,37,1
49,62318,33,0
47,139803,16,1
64,90173,36,1
52,90390,24,1
57,72329,37,1
33,142418,11,1
30,63088,22,0
59,136868,21,1
47,123196,20,1
36,59811,26,0
34,134825,30,1
36,75479,5,0
45,105392,26,1
43,107369,39,1
54,137520,33,1
43,39963,11,0
40,75123,6,1
26,145911,9,1
29,122468,16,1
18,112705,25,1
18,93477,20,1
64,34388,27,0
51,25569,1,0
49,89836,0,0
42,124573,35,1
57,56586,25,0
62,147018,28,1
18,32015,20,0
33,65002,10,0
56,136594,39,1
22,26254,10,0
39,37144,35,0
46,44214,38,0
20,125654,39,1
29,100719,34,1
43,91774,33,1
33,26090,23,0
54,31637,21,0
39,42415,4,0
46,44071,32,0
31,78243,35,1
45,130951,19,1
22,145827,18,1
64,128215,34,1
47,61240,16,0
63,146146,33,1
22,103807,8,1
29,121570,25,1
33,53434,1,0
43,89724,8,1
43,135359,8,1
38,95697,39,1
56,48732,16,0
53,141465,0,0
50,31314,24,0
47,43954,39,0
54,77108,24,1
40,107044,38,1
27,107505,34,1
22,131195,2,0
53,123081,36,1
51,56668,29,0
48,43061,37,0
27,99252,33,1
36,59749,11,0
49,149668,18,1
18,124680,36,1
22,36907,16,0
62,38777,9,0
21,113229,11,1
33,71745,15,1
41,128464,23,1
33,148077,18,1
19,111865,7,1
45,132428,30,1
49,101818,20,1
44,43624,16,0
37,43321,22,0
41,30488,36,0
29,42574,15,0
52,25240,5,0
50,63221,7,0
